t,cpu_11395,rss_mib_11395,cpu_11351,rss_mib_11351,rx_mbit_s,tx_mbit_s
3983.5,32.90,60.1,0.00,50.8,164.05,0.41
3984.5,29.91,60.1,0.00,50.8,164.39,68505.19
3985.5,32.90,60.1,1.00,50.8,164.07,0.75
3986.5,31.90,60.1,0.00,50.8,164.14,0.42
3987.5,33.90,60.1,1.00,50.8,164.16,0.60
3988.5,32.90,60.1,0.00,50.8,164.24,0.75
3989.5,32.91,60.1,1.00,50.8,164.20,0.42
3990.5,30.92,60.1,0.00,50.8,164.35,68536.22
3991.5,31.90,60.1,1.00,50.8,164.00,0.73
3992.5,31.90,60.1,0.00,50.8,164.06,0.42
3993.5,32.90,60.1,0.00,50.8,164.06,0.58
3994.5,31.91,60.1,1.00,50.8,164.10,0.74
3995.5,30.91,60.1,1.00,50.8,164.11,68513.52
3996.5,32.90,60.1,0.00,50.8,164.18,0.59
3997.5,33.90,60.1,1.00,50.8,164.13,0.75
3998.5,31.90,60.1,0.00,50.8,164.06,0.42
3999.5,32.90,60.1,1.99,50.8,163.88,0.58
4000.5,30.91,61.3,0.00,50.8,163.99,0.75
4001.5,32.91,60.1,1.00,50.8,164.06,68522.61
4002.5,32.90,60.1,0.00,50.8,166.32,0.60
4003.5,31.91,60.2,1.00,50.8,166.10,0.76
4004.5,33.89,60.7,0.00,50.8,168.14,0.43
4005.5,30.91,61.1,1.00,50.8,166.62,0.59
4006.5,29.91,61.3,0.00,50.8,165.45,68523.28
4007.5,32.90,63.9,0.00,50.8,164.05,0.42
4008.5,32.90,65.4,1.99,50.8,164.17,0.59
4009.5,31.91,65.4,0.00,50.8,163.94,0.74
4010.5,31.91,66.8,1.00,50.8,164.06,0.43
4011.5,33.90,66.8,0.00,50.8,164.00,0.59
4012.6,29.91,60.1,0.00,50.8,164.22,68515.74
4013.6,32.90,60.1,1.00,50.8,163.97,0.42
4014.6,33.90,60.1,0.00,50.8,164.17,0.58
4015.6,32.90,60.1,1.00,50.8,164.05,0.74
4016.6,33.90,60.1,1.00,50.8,164.02,0.43
4017.6,31.91,60.1,0.00,50.8,163.89,68516.39
4018.6,31.90,60.1,1.00,50.8,164.10,0.73
4019.6,33.89,60.1,0.00,50.8,163.91,0.42
4020.6,33.89,60.1,1.00,50.8,164.06,0.58
4021.6,32.90,60.1,0.00,50.8,163.81,0.77
4022.6,32.90,60.1,1.00,50.8,164.09,0.40
4023.6,30.91,60.1,1.00,50.8,163.88,68513.73
4024.6,33.90,60.1,1.00,50.8,164.11,0.76
4025.6,33.90,60.1,0.00,50.8,163.77,0.41
4026.6,32.90,60.1,0.00,50.8,164.13,0.56
4027.6,32.90,60.1,1.00,50.8,163.82,0.74
4028.6,30.91,60.1,0.00,50.8,164.10,68511.50
4029.6,30.91,60.1,0.00,50.8,163.96,0.60
4030.6,32.91,60.1,1.00,50.8,164.23,0.75
4031.6,33.91,60.1,0.00,50.8,164.00,0.41
4032.6,32.91,60.1,1.99,50.8,164.21,0.58
4033.6,32.90,60.1,0.00,50.8,163.84,0.75
4034.6,30.96,60.1,0.00,50.8,164.46,68629.00
4035.6,31.91,60.1,1.00,50.8,163.97,0.59
4036.6,32.89,60.1,0.00,50.8,166.39,0.75
4037.6,32.90,60.3,1.00,50.8,166.48,0.40
4038.6,32.90,60.6,0.00,50.8,166.44,0.58
4039.6,28.92,60.9,1.00,50.8,166.47,68521.80
4040.6,32.90,61.2,0.00,50.8,165.71,0.42
